c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29	c30	c31	c32	c33	c34	c35	c36	c37	c38	c39	c40	c41	c42	c43	c44	c45	c46	c47	c48	c49	c50	c51	c52	c53	c54	c55	c56	c57	c58	c59	c60	c61	c62	c63	c64	c65	c66	c67	c68	c69	c70	c71	c72	c73	c74	c75	c76	c77	c78	c79	c80	c81	c82	c83	c84	c85	c86	c87	c88	c89	c90	c91	c92	c93	c94	c95	c96	c97	c98	c99	c100	c101	c102	c103	c104	c105	c106	c107
"d039"	"Flores-Aráoz Esparza, Antero"	"11"	"14"	1	1	7	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	5	5	5	5	5	1	7	7	7	7	7	1	1	1	1	1	1	1	1	1	1	8	8	1	1	1	8	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	1	1	1	1	7	1	1	1	8	8	8	8	8	8	8	1	1	1	1	1	6	7	1	1	1	1	1	1	1	1	0	0	1	1	1	6	0
"d148"	"Flores Vásquez, Luis Humberto"	"3"	"5"	1	1	1	1	1	7	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	6	1	1	1	1	1	1	6	7	1	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1	1	7	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0
"d149"	"Florián Cedrón, Rosa Madeleine"	"11"	"5"	1	1	8	8	1	1	1	1	1	5	1	1	7	7	1	0	0	1	1	1	1	0	5	5	5	5	5	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	7	6	7	7	7	7	7	7	7	7	7	1	1	1	1	1	1	7	7	7	7	1	1	1	1	1	0	7	1	1	1	1	1	1	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
"d150"	"Franceza Marabotto, Kuennen Sydney"	"11"	"9"	6	1	6	1	7	7	7	7	7	1	1	1	7	7	1	7	7	1	1	1	1	0	5	5	5	5	5	7	7	7	0	1	6	7	7	7	7	7	7	1	1	6	1	7	7	1	7	1	7	7	7	7	7	7	7	1	1	7	1	0	1	6	1	6	0	1	1	1	1	6	7	6	7	7	6	7	7	1	1	1	1	1	7	7	7	7	7	8	8	8	8	8	8	8	1	1	1	6	1	1	1	1	7
"d151"	"Gasco Bravo, Luis Antonio"	"4"	"13"	1	1	1	1	6	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	6	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1	1	1	1	1	0	7	1	1	1	7	7	7	1	1	1	1	1	1	1	1	1	7	7	7	7	7	7	1	1	1	1	1	1	6
"d152"	"Gonzales Posada Eyzaguirre, Luis Javier"	"4"	"10"	1	1	1	1	8	8	1	1	1	1	7	7	7	7	7	7	7	7	7	7	1	1	1	1	1	1	1	1	7	7	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	7	7	7	7	7	7	7	1	1	1	1	1	1	1	1	1	1	1	1	7	1	1	1	0	1	1	1	1	1	1	1	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
"d153"	"Gonzales Reinoso, Julio Antonio Luis"	"10"	"17"	1	1	1	1	7	7	8	8	8	8	1	1	1	1	1	5	1	6	1	1	1	0	7	7	7	7	7	1	1	1	0	1	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0
"d154"	"González Salazar, Alfredo Guillermo"	"12"	"14"	1	1	1	1	1	1	1	1	1	5	1	1	5	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	7	7	7	1	1	1	1	1	1	1	7	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	5	1	5	1	1	0	1	1	1	7	1	1	1	1	1	1	1	0	1	1	7	1	1	1	1	1	5	1	1	1	1	1	1	1	1	7	1	7	7	7	7	7	7	7	7	7	7
"d42"	"Guerrero Figueroa, Luis Bernardo"	"3"	"5"	1	1	1	1	1	1	1	1	1	6	6	1	0	1	1	1	1	1	1	1	7	7	7	7	7	7	7	6	1	1	0	1	1	1	1	1	1	1	1	1	1	5	1	7	1	1	1	1	1	1	1	1	1	1	1	6	6	1	1	1	1	1	1	1	7	1	1	1	1	1	1	0	6	6	7	7	7	7	7	7	7	6	1	1	1	1	7	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
"d43"	"Helfer Palacios, Gloria Gilda"	"3"	"14"	1	1	1	1	1	6	7	6	1	6	1	1	0	1	1	1	1	7	7	1	1	1	1	1	1	1	1	1	1	1	0	7	7	1	1	1	1	1	1	6	1	5	1	1	1	1	1	1	7	7	1	1	1	1	1	1	1	1	1	1	1	7	1	7	6	7	1	1	1	7	7	0	7	7	7	1	7	7	7	7	1	1	1	1	7	7	1	1	1	6	1	7	1	1	7	7	7	7	1	1	1	1	0
